MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
Yayladamı Mahallesi, Hekimhan, Malatya
Yeni Mahallesi, Hekimhan, Malatya
Yeşilkale Mahallesi, Hekimhan, Malatya
Yeşilköy Mahallesi, Hekimhan, Malatya
Yeşilpınar Mahallesi, Hekimhan, Malatya
Yukarı Saz Mahallesi, Hekimhan, Malatya
Yukarı Selimli Mahallesi, Hekimhan, Malatya

[Kale]
Abuşoğlu Mahallesi, Kale, Malatya
Akça Mahallesi, Kale, Malatya
Akuşağı Mahallesi, Kale, Malatya
Bağlıca Mahallesi, Kale, Malatya
Bent Mahallesi, Kale, Malatya
Çanakçı Mahallesi, Kale, Malatya
Darıpınar Mahallesi, Kale, Malatya
Dedeköy Mahallesi, Kale, Malatya
Düztarla Mahallesi, Kale, Malatya
Erdemli Mahallesi, Kale, Malatya
Gülenköy Mahallesi, Kale, Malatya
Güneyce Mahallesi, Kale, Malatya
İkizpınar Mahallesi, Kale, Malatya
Kale Mahallesi, Kale, Malatya
Karaağaç Mahallesi, Kale, Malatya
Karahüseyin Mahallesi, Kale, Malatya
Kıyıcak Mahallesi, Kale, Malatya
Kozluk Mahallesi, Kale, Malatya
Kumluyazı Mahallesi, Kale, Malatya
Mahmutdursun Mahallesi, Kale, Malatya
Salkımlı Mahallesi, Kale, Malatya
Sarıot Mahallesi, Kale, Malatya
Soğukpınar Mahallesi, Kale, Malatya
Tepebaşı Mahallesi, Kale, Malatya
Uyanık Mahallesi, Kale, Malatya
Uzunhüseyin Mahallesi, Kale, Malatya
Üçdeğirmen Mahallesi, Kale, Malatya
Yenidamlar Mahallesi, Kale, Malatya

[Kuluncak]
Alvar Mahallesi, Kuluncak, Malatya
Aşağıselimli Mahallesi, Kuluncak, Malatya
Bahçelievler Mahallesi, Kuluncak, Malatya
Başören Mahallesi, Kuluncak, Malatya
Bıyıkboğazı Mahallesi, Kuluncak, Malatya
Bicir Mahallesi, Kuluncak, Malatya
Boğaziçi Mahallesi, Kuluncak, Malatya
Ciritbelen Mahallesi, Kuluncak, Malatya
Çayköy (Vekaleten) Mahallesi, Kuluncak, Malatya
Çörmü Mahallesi, Kuluncak, Malatya
Göğebakan Mahallesi, Kuluncak, Malatya
